No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
1,A,Agilent Technologies Inc.,Technology,Scientific & Technical Instruments,USA,15719.48,13.82,13.17,1.39,2.29,3.02,6.69,16.29,1.06,9.02,3.27,14.58,12.46,15.76,9.93,4.82,46.23,2.26,347.93,347.41,0.28,-1.02,82.34,0.32,1.43,1.39,11.77,24.3,14.55,2.45,1.91,0.41,0.46,52.55,16.11,16.81,2.33,10.76,27.56,25.64,3.6,10.36,1.53,0.81,1.56,1.71,5.05,12.19,15.61,-0.81,27.77,-1.41,28.57,72.08,-0.02,-0.22,1.6,3577.34,0.66,45.18,-0.24,2369797,11/19/2012 16:30
2,AA,"Alcoa, Inc.",Basic Materials,Aluminum,USA,9498.08,55.62,10.23,7.83,0.4,0.72,5.1,90.46,1.35,67.74,0.16,-68.02,40.32,-44.05,7.1,-4.14,214.9,-1.52,1067.2,1066.71,0.19,53.88,60.33,-0.01,6.47,4.15,0.4,1.4,0.53,1.3,0.83,0.63,0.67,13.56,1.37,0.68,-1.11,1.95,1.71,11.81,-13.93,2.53,2.06,0.17,1.98,1.81,-0.77,2.61,1.49,-4.61,11.53,-17.65,12.51,51.03,-1.87,0.44,2.8,16615,0.96,8.9,-1.44,16000104,1/8/2013 16:30
3,AACC,Asset Acceptance Capital Corp.,Financial,Credit Services,USA,156.93,10.62,8.79,0.85,0.68,1.05,11.55,13.04,,0,0.48,840.72,52.63,-20.69,12.5,-3.07,-50.54,-3.39,30.77,15.9,35.94,0.36,47.31,0.07,2.54,11.42,3.8,10.51,4,,,1.06,1.06,,17.25,6.43,4.94,14.09,-26.83,-15.7,13.33,13.33,1.92,0.21,5.22,4.28,8.57,8.77,-13.53,-15.42,28.46,-37.5,28.46,66.92,2,1.01,2,35.32,0.54,5.1,3.03,19241,3/4/2013
4,AADR,WCM/BNY Mellon Focused Growth ADR ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,6.37,9.53,18.53,13.79,6.54,,0.39,0.67,0.86,2.54,5.77,10.85,-2.03,14.07,-2.03,20.54,64.67,0.15,-1.06,,1.76,2.29,32.75,-0.91,4030,
5,AAIT,iShares MSCI AC Asia Information Tech,Financial,Exchange Traded Fund,USA,,,,,,,,,0.17,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,-3.75,-0.22,7.6,13.58,,-1.81,,0.53,0.86,1.52,-2.75,-0.62,4.95,-6.63,6.96,-18.15,16.41,40.78,0.41,-1.24,,8.43,0.2,27.19,-0.84,1675,
6,AAME,Atlantic American Corp.,Financial,Life Insurance,USA,70.3,18.5,,,0.52,0.66,3.67,7.2,0.6,10.81,0.18,479.09,,-14.08,,-1.15,-36.23,14.62,21.11,5.26,1.93,32.53,5.15,-6.77,0.03,0.46,1.45,3.91,,,,0.39,0.39,,3.04,3.29,1.52,17.67,17.25,25.66,68.18,7.77,1.03,0.14,9.21,4.97,3.63,10.31,18.88,-2.06,32.14,-2.06,78.75,67.68,0.91,0,,3.61,1.72,3.33,0.91,6190,11/20/2012
7,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2258.17,13.76,12.82,1.1,1.04,2.06,14.51,85.63,0.23,2.72,2.17,-0.55,12.56,10.12,12.5,10.5,5.1,9.24,75.6,62.86,6.2,-2.7,91.29,4.09,1.61,2.19,9.72,16.44,11.57,,,0.13,0.13,80.83,12.43,7.67,-0.83,8.97,10.71,2.82,8.22,5.62,0.85,0.65,1.9,1.95,2.12,3.52,5.78,-3.33,21.37,-8.18,21.72,57.2,-1.13,-0.17,2.3,462.89,0.81,29.87,-1.29,375587,2/4/2013
8,AAON,AAON Inc.,Industrial Goods,General Building Materials,USA,552.66,26.82,19.42,2.68,1.92,4.04,53.71,18.51,1.07,28.49,0.84,-34.94,13.73,-1.37,10,2.84,7.54,4.05,24.53,18.54,21.54,-7.85,55.18,-8.02,4.31,9.13,10.96,15.82,14.48,2.27,1.39,0,0,20.94,11.57,7.19,0,12.43,11.76,25.38,12.99,7.95,0.99,0.52,2.68,2.51,3.05,7.54,15.2,-3.43,23,-3.43,29.8,59.25,-0.18,-0.09,3,87.53,0.67,22.53,-0.27,58487,11/8/2012 8:30
9,AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,5570.96,14.49,13.58,1.43,0.9,4.86,11.62,12.57,0.32,4.53,5.24,29.21,9.39,18.79,10.13,5.97,-14.33,-0.51,73.36,72.86,0.83,-5.42,94.7,-1.64,1.36,1.08,9.68,40.33,21.93,1.24,0.32,0.52,0.52,49.74,10.58,6.27,2.97,7.56,12.96,4.85,0.28,4.96,0.54,1.19,1.48,1.71,3.91,2.89,2.9,-5.65,8.45,-18.2,24.97,65.71,0.64,0.28,2.6,913.78,1.13,75.94,0.92,1033318,2/7/2013 8:30
10,AAPL,Apple Inc.,Technology,Personal Computers,USA,422417.35,10.2,8.81,0.74,2.56,3.57,10.61,9.64,2.36,11.91,44.1,59.51,13.69,62.22,13.77,44.81,-0.49,17.65,939.06,938.78,0.03,-25.95,66.92,0.05,1.89,0.79,24.94,38.41,32.96,1.54,1.51,0,0,41.91,33.46,25.35,-10.03,-12.31,-26.33,-21.07,1.6,-15.47,1.04,16.93,3.32,2.55,-11.72,-15.44,-23.54,-24.35,3.41,-35.91,3.41,31.49,2.79,-0.52,1.9,22393.21,1.25,449.83,2.26,27898488,1/23/2013 16:30
